ticker,official_chinese_name,official_english_name,industry,total_news_count_unique_urls,pooled_raw_hype,pooled_market_cap_weight,pooled_market_cap_adjusted_hype,pooled_attention_size_imbalance,nonzero_week_count,zero_week_count
2330,台灣積體電路製造,"Taiwan Semiconductor Manufacturing Co.,",M23G 半導體,2961,0.4166314901,0.5119128529,0.8138719075,-0.09528136286,8,0
2454,聯發科技,Mediatek Inc.,M23G 半導體,1468,0.2065569157,0.04523642971,4.566163091,0.161320486,8,0
2317,鴻海精密工業,"Hon Hai Precision Ind. Co., Ltd.",M23A 電腦及週邊,994,0.1398621078,0.04297691748,3.254354104,0.0968851903,8,0
2357,華碩電腦,Asustek Computer Inc.,M23A 電腦及週邊,259,0.03644294358,0.00925626969,3.937109094,0.02718667389,8,0
1301,台灣塑膠工業,Formosa Plastics Corporation,M13A 石化,127,0.01786970592,0.004766682354,3.748877017,0.01310302357,8,0
4938,和碩聯合科技,Pegatron Corporation,M23A 電腦及週邊,112,0.01575911074,0.004652282421,3.387393393,0.01110682832,8,0
2308,台達電子工業,"Delta Electronics, Inc.",M23D 電子零組件,110,0.01547769804,0.01942301443,0.7968741463,-0.003945316388,8,0
3231,緯創資通,Wistron Corporation,M23A 電腦及週邊,106,0.01491487266,0.006503224215,2.293458163,0.008411648446,8,0
2303,聯華電子,United Microelectronics Corp.,M23G 半導體,91,0.01280427747,0.01216494608,1.052555218,0.0006393313928,8,0
2881,富邦金融控股,"Fubon Financial Holding Co., Ltd.",M28L 金融控股,88,0.01238215844,0.02326631081,0.5321925997,-0.01088415237,8,0
2882,國泰金融控股,"Cathay Financial Holding Co., Ltd.",M28L 金融控股,84,0.01181933305,0.01798633666,0.6571284234,-0.006167003608,8,0
2382,廣達電腦,Quanta Computer Inc.,M23A 電腦及週邊,68,0.009568031518,0.02039073698,0.4692342177,-0.01082270547,8,0
2412,中華電信,"Chunghwa Telecom Co., Ltd.",M23K 通信網路,62,0.008723793443,0.02122344015,0.4110452114,-0.01249964671,8,0
1303,南亞塑膠工業,Nan Ya Plastics Corporation,M13A 石化,58,0.00816096806,0.005122856457,1.593050309,0.003038111603,8,0
2886,兆豐金融控股,Mega Financial Holding Company Ltd.,M28L 金融控股,53,0.00745743633,0.0121786202,0.6123383608,-0.004721183869,8,0
3661,世芯電子,"Alchip Technologies, Limited",M23G 半導體,50,0.007035317293,0.004185080701,1.681046985,0.002850236592,6,2
3008,大立光電,"Largan Precision Co., Ltd.",M23U 消費性電子,44,0.006191079218,0.006235094751,0.9929406793,-4.401553335e-05,8,0
2609,陽明海運,Yang Ming Marine Transport Corp.,M26A 海運,42,0.005909666526,0.005535961163,1.067505055,0.0003737053626,6,2
2618,長榮航空,EVA Airways Corporation,M26D 空運,36,0.005065428451,0.004677074355,1.083033552,0.0003883540962,7,1
3034,聯詠科技,Novatek Microelectronics Corp.,M23G 半導體,35,0.004924722105,0.006575693351,0.7489281878,-0.001650971246,8,0
2395,研華,"Advantech Co., Ltd.",M23A 電腦及週邊,30,0.004221190376,0.00617879266,0.6831739804,-0.001957602285,8,0
6505,台塑石化,Formosa Petrochemical Corp.,M13C 輕油裂解,30,0.004221190376,0.007466378165,0.5653598415,-0.003245187789,8,0
2615,萬海航運,Wan Hai Lines Ltd.,M26A 海運,27,0.003799071338,0.005591222774,0.6794705722,-0.001792151436,7,1
1216,統一企業,Uni-President Enterprises Corp.,M12C 飲料乳品,22,0.003095539609,0.009415716577,0.3287630403,-0.006320176968,7,1
2603,長榮海運,Evergreen Marine Corp. (Taiwan) Ltd.,M26A 海運,22,0.003095539609,0.0102943012,0.3007042003,-0.007198761586,5,3
3045,台灣大哥大,"Taiwan Mobile Co., Ltd.",M23K 通信網路,20,0.002814126917,0.009001592517,0.3126254506,-0.0061874656,7,1
2379,瑞昱半導體,Realtek Semiconductor Corporation,M23G 半導體,16,0.002251301534,0.00560169359,0.4018965867,-0.003350392056,8,0
2327,國巨,Yageo Corporation,M23D 電子零組件,13,0.001829182496,0.005128040369,0.3567020469,-0.003298857873,6,2
2002,中國鋼鐵,China Steel Corporation,M20A 基本金屬,11,0.001547769804,0.006822973612,0.2268468109,-0.005275203807,5,3
3711,日月光投資控股,"ASE Technology Holding Co., Ltd.",M23G 半導體,11,0.001547769804,0.01290044099,0.1199780539,-0.01135267119,7,1
4904,遠傳電信,"Far EasTone Telecommunications Co., Ltd.",M23K 通信網路,10,0.001407063459,0.006661583088,0.2112205823,-0.005254519629,5,3
2301,光寶科技,Lite-On Technology Corp.,M23D 電子零組件,8,0.001125650767,0.004776007057,0.2356886733,-0.003650356291,4,4
6669,緯穎科技服務,Wiwynn Corporation,M23A 電腦及週邊,8,0.001125650767,0.008360276846,0.1346427621,-0.007234626079,5,3
1101,台灣水泥,"TCC Group Holdings CO., LTD.",M11A 水泥製造,5,0.0007035317293,0.004750005632,0.1481117674,-0.004046473903,4,4
2801,彰化商業銀行,"Chang Hwa Commercial Bank, Ltd.",M28A 本國銀行,5,0.0007035317293,0.004290884794,0.1639595941,-0.003587353064,3,5
2885,元大金融控股,"Yuanta Financial Holding Co., Ltd.",M28L 金融控股,5,0.0007035317293,0.008592771206,0.08187483553,-0.007889239477,3,5
2207,和泰汽車,"Hotai Motor Co., Ltd.",M22X 汽車買賣,4,0.0005628253834,0.007285398105,0.07725389544,-0.006722572721,3,5
2880,華南金融控股,"Hua Nan Financial Holdings Co., Ltd.",M28L 金融控股,3,0.0004221190376,0.00786166796,0.05369331797,-0.007439548923,2,6
2890,永豐金融控股,Sinopac Financial Holdings Company Limit,M28L 金融控股,3,0.0004221190376,0.005921287179,0.07128839133,-0.005499168141,3,5
2887,台新新光金融控股,"TS Financial Holding Co., Ltd.",M28L 金融控股,2,0.0002814126917,0.004490765138,0.06266475379,-0.004209352446,1,7
2345,智邦科技,Accton Technology Corp.,M23K 通信網路,1,0.0001407063459,0.007497941138,0.01876599766,-0.007357234792,1,7
2883,凱基金融控股,"KGI Financial Holding Co., Ltd.",M28L 金融控股,1,0.0001407063459,0.005841270606,0.02408831149,-0.00570056426,1,7
2912,統一超商,President Chain Store Corporation,M29A 百貨批發,1,0.0001407063459,0.005680326379,0.02477082063,-0.005539620033,1,7
5880,合作金庫金融控股,Taiwan Cooperative Financial Holding Co.,M28L 金融控股,1,0.0001407063459,0.007829777527,0.01797066971,-0.007689071181,1,7
2383,台光電子材料,"Elite Material Co., Ltd.",M23B 印刷電路板,0,0,0.004592924912,0,-0.004592924912,0,8
2884,玉山金融控股,"E.SUN Financial Holding Company, Ltd.",M28L 金融控股,0,0,0.009738867338,0,-0.009738867338,0,8
2891,中國信託金融控股,"CTBC Financial Holding Co., Ltd.",M28L 金融控股,0,0,0.01644179496,0,-0.01644179496,0,8
2892,第一金融控股,"First Financial Holding Co., Ltd.",M28L 金融控股,0,0,0.007702128645,0,-0.007702128645,0,8
5871,中租控股,Chailease Holding Company Limited,M28K 租賃,0,0,0.004202729241,0,-0.004202729241,0,8
5876,上海商業儲蓄銀行,"The Shanghai Commercial & Savings Bank,",M28A 本國銀行,0,0,0.004810614886,0,-0.004810614886,0,8
